Reference Type,Author,Year,Title,Title of Journal,Volume,Issue,Page Range,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Journal Article,"Wilcken, John",2002,Juan Luis Segundo and Australian Theology,Pacifica: Australasian Theological Studies,15,3,324–336,,October,1030-570X,,,https://doi-org.avoserv2.library.fordham.edu/10.1177/1030570X0201500305,,20th century,Theology -- Liberation|Theology -- History|Theology -- Scripture -- Hermeneutics|Foreign Missions -- Aboriginal People,North America -- Latin America|South America -- Latin America|Australia,"Segundo, Juan Luis, 1925–1996","This essay falls into two parts. In the first there is a brief discussion of the emergence of Liberation Theology in Latin America in 1960s and 1970s, and its challenge to the European and North American academic theology which has dominated the Christian world. The liberation theologians adopted a different methodology, which they saw to be required by the situations of massive injustice and poverty which they found around them. Juan Luis Segundo presented his understanding of the hermeneutical circle, and showed how commitment to the humanisation of the continent leads to new interpretations of Scripture. In the second part of the essy the application of this method to Australian theology is considered. The situation of Aboriginal people is taken as an example. The effect on Aboriginal people of the coming of white settlers raises challenging questions for Christian theology and biblical interpretation.",,,,,English,REVIEW
Journal Article,"Wicks, Jared",2002,"Pieter Smulders and Dei Verbum: 3. Developing the Understanding of Revelation to Israel, 1962–63",Gregorianum,82,3,225–267,,,0017-4114,,,http://www.jstor.org/stable/23580707,,20th century,History -- Councils -- Vatican II|Theology -- Biblical,Asia -- Indonesia|Europe -- Vatican City,,,,,,,German,REVIEW
Journal Article,"Schussler Fiorenza, Francis",2002,A Roman Catholic Perspective on the Offense of Revelation: Response to William Abraham,Harvard Theological Review,95,3,265–271,,July,0017-8160,,,http://www.jstor.org/stable/pdf/4150746.pdf,,20th century,Theology -- Controversies|Theology -- Systematic|Theology -- Ecumenism,,"Dulles, Avery, 1918–2008|Rahner, Karl, 1904–1984",,,,,,English,REVIEW
Journal Article,"Ruggieri, Vincenzo",2002,Constantinopoli vista da P. Giulio Mancinelli S.J. (1583–1585),Revue des études byzantines,60,1,113–31,,,2261-060X,,,http://www.persee.fr/doc/rebyz_0766-5598_2002_num_60_1_2256,,16th century,Foreign Missions -- Travel|Foreign Missions -- Architecture -- Urbanism|Foreign Missions -- Writings,Asia -- Turkey -- Istanbul,,,,,,,Italian,REVIEW
Journal Article,"Romano, Antonella",2002,La Contre-Réforme mathématique: Constitution et diffusion d'une culture mathématique jésuite à la Renaissance (1540–1640),Histoire de l'education,,93,99–103,,January,0221-6280,,,www.jstor.org/stable/41159967,,16th century|17th century,Church -- History|Sciences -- Mathematics|Controversies -- Scientific Revolution,Europe -- Italy -- Rome|Europe -- Greece -- Athens,,,,,,,French,REVIEW
Journal Article,"Pastor, Félix-Alejandro",2002,Arcani disciplina: Sobre el pensamiento teológico de Juan Luis Segundo,Gregorianum,83,3,545–58,,,0017-4114,,,http://www.jstor.org/stable/23580793,,20th century,Theology -- Political Theology|Controversies -- Marxism,South America -- Uruguay,"Segundo, Juan Luis, 1925–1996",,,,,,Spanish,REVIEW
Journal Article,"McMahon, Kevin A.",2002,Karl Rahner and the Theology of Human Origins,The Thomist,66,4,499–517,,October,0040-6325,10.1353/tho.2002.0036,,https://muse-jhu-edu.avoserv2.library.fordham.edu/article/642607/pdf,,20th century,Theology -- Anthropology|Philosophy -- Ethics,,"Rahner, Karl, 1904–1984",,,,,,English,KEEP
Journal Article,"McAleer, Graham",2002,Jesuit Sensuality and Feminist Bodies,Modern Theology,18,3,395–405,,July,1468-0025,10.1111/1468-0025.00195,,http://onlinelibrary.wiley.com/doi/10.1111/1468-0025.00195/abstract,,16th century|17th century|18th century|19th century|20th century,Controversies -- Feminism|Identity -- Body,,"Toledo, Francisco de, 1532–1596|Fessard, Gaston, 1897–1978|Rahner, Karl, 1904–1984","The stated goal of Donna Haraway's “Cyborg feminism” is to liberate sensuality from violence. In examining her book alongside that of Jesuit Toletus it becomes clear that both argue that sensuality is a place of metaphysical violence. The first two sections of the essay demonstrate this, and, in addition that Toletus' commentary on Aquinas is hardly accurate. This fact will help justify the claim that the Jesuit tradition includes a rather particular theory of sensuality, the origin of which is perhaps Giles of Rome. A third section shows how the Jesuit Gaston Fessard rediscovered Aquinas' own theory of sensuality through a thoroughgoing critique of Hegelian and Marxist dialectic. The essay concludes that Haraway would do well to adopt Aquinas' non-violent theory of sensuality as her own.",,,,,English,KEEP
Journal Article,"Massa, Mark",2002,"Catholic-Protestant Tensions in Post-War America: Paul Blanshard, John Courtney Murray, and the ""Religious Imagination""",Harvard Theological Review,95,3,319–339,,July,0017-8160,,,http://www.jstor.org/stable/pdf/4150750.pdf,,20th century,History -- Regional|Protestantism|Theology -- Law|Political Thought,North America -- USA,"Murray, John Courtney, 1904–1967",,,,,,English,REVIEW
Journal Article,"Leite Costa, Flávio|Menezes, Sezinando Luiz",2002,Algumas considerações sobre a ocupação européia da região do Guairá nos séculos XVI e XVII,Acta scientiarum,24,1,223–32,,,1679-7361|1807-8656,10.4025/actascihumansoc.v24i0.2450,,http://www.periodicos.uem.br/ojs/index.php/ActaSciHumanSocSci/article/view/2450,,16th century|17th century,Foreign Missions -- History -- Regional|Foreign Missions -- Politics|Foreign Missions -- Historiography,South America -- Paraguay -- Guaíra|South America -- Paraguay |South America -- Brazil|South America -- Uruguay|South America -- Argentina,,"The European population nucleus in the Guaíra region during the 16th and 17th centuries had its own dynamics for its development and its destructurization. An analysis of works that describe the destruction of these populations shows that the “bandeirantismo paulista” was the main factor towards their disruption. However, analysis of documents, published by Jaime Cortesão, specifically on the Guaíra region of Guairá, indicates that this problem has to be inserted into a more extensive context. In fact, the “bandeirantismo” first of all preyed on the Indians and its participation in the process of European evacuation of this region may be understood if the social relations extant in the region are taken into consideration. The social relations mentioned above deal with the manner Indians, Jesuits and Spaniards lived and how they developed their contacts with the Portuguese. Native labor, supervised by the Jesuits or by the “encomenderos”, was responsible for the permanence of the colonizers in the region. Due to the good relationship between the Paulistas and the government of Paraguay and due to the constant arrests of Indians by the “bandeirantes”, the destructuring of the social and economic internal system of the region occurred. Such destruction caused the evacuation of the European from the region.||Os núcleos de povoamento europeus, localizados na região das missões do Guairá, durante os séculos XVI e XVII, apresentam dinâmicas próprias de desenvolvimento e de desestruturação. O estudo de trabalhos, que indicam a falência desses povoamentos, mostram-nos que o bandeirantismo paulista é um dos principais fatores para a desestruturação dos mesmos. No entanto, a análise dos documentos publicados por Jaime Cortesão, que discutem especificamente a região do Guairá, indicam que essa problemática estava inserida em um contexto mais amplo. Dentro desse contexto, o bandeirantismo, em primeiro plano, desempenha o papel de preador de índios, sendo que, sua participação no processo de desocupação européia da região, só pode ser entendido se levarmos em consideração as relações sociais que ali se travaram. Essas relações implicam, inicialmente em entender como conviviam, índios, jesuítas e espanhóis; e, posteriormente, como esses desenvolveram seus contatos com os portugueses. A mão de obra indígena, disciplinada pelos jesuítas ou sob comando dos encomienderos, é responsável pela permanência dos colonizadores na região. Com os relacionamentos amistosos entre os paulistas e o governo do Paraguai, e com o constante aprisionamento dos índios pelos bandeirantes, ocorre uma desestruturação no sistema social e econômico da região, o que implica em sua desocupação por parte dos europeus.",,,,The European Occupation of the Guaíra Region in the 16th and 17th Centuries,Portuguese,REVIEW
Journal Article,"Krawczyk, Antoni",2002,The British in Poland in the Seventeenth Century,Seventeenth Century,17,2,254–272,,September,0268-117X,10.1080/0268117X.2002.10555511,,http://www.tandfonline.com/doi/abs/10.1080/0268117X.2002.10555511,,17th century,History -- Regional|Prosopography|Controversies -- England,Europe -- Poland|Europe -- UK,,,,,,,English,REVIEW
Journal Article,"Haughey, John C.",2002,Responsibility for Human Rights: Contributions from Bernard Lonergan,Theological Studies,63,4,764–785,,December,0040-5639,,,http://eds.a.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=3&sid=f0f63ed7-59ef-416a-b392-a2fd9f18cb7e%40sessionmgr4007&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0001336890&db=rfh,,20th century,Theology -- Law|Political Thought -- Human Rights,,"Lonergan, Bernard J. F., 1904–1984","[The moral category of human rights has been in jeopardy since the beginning of the UN Declaration of Human Rights (1948) because of an indefiniteness about the complementary category of whose responsibility it is to meet their moral claims. Lonergan's under- standing of responsibility is presented here as valuable for supplying this hiatus. Even though he did not directly address the topic of human rights, his understanding of the universal, invariant struc- tures of consciousness, and several of his other ethical insights are analyzed for their value for completing human rights theory.",,,,,English,REVIEW
Journal Article,"Hall, Gerard",2002,Jacques Dupuis' Christian Theology of Religious Pluralism,Pacifica: Australasian Theological Studies,15,1,37–50,,February,1030-570X,,,https://doi-org.avoserv2.library.fordham.edu/10.1177/1030570X0201500103,,20th century,Theology -- Religious Pluralism|Biography -- Intellectual,Europe -- Belgium,"Dupuis, Jacques, 1923–2004","Given the politics and publicity surrounding Jacques Dupuis' Toward a Christian Theology of Religious Pluralism, his contribution to the developing theology of religious pluralism deserves closer scrutiny. The general question guiding this discussion is the following: does Jacques Dupuis provide adequate resources for claiming both the authenticity of Christian revelation and a genuinely positive acceptance of religious pluralism? This article outlines Dupuis' interreligious hermeneutical methodology, enquires into his understanding of the uniqueness of Jesus Christ, and examines the implications of his Trinitarian Christology for a theology of religious pluralism. Dupuis' contribution is then assessed from the dual perspectives of Christian theology and theological rhetoric. Finally, the issue of Christian universalism is brought to hermeneutical attention.",,,,,English,REVIEW
Journal Article,"Greene, Molly",2002,Beyond the Northern Invasion: The Mediterranean in the Seventeenth Century,Past and Present,,174,42–71,,February,1477-464X,,,http://www.jstor.org/stable/3600716,,17th century,History -- Regional|Commerce -- History,Europe|Africa,,,,,,,English,REVIEW
Journal Article,"Garlet, Ivori D.|Assis, Valéria S. de",2002,A imagem do Kechuíta no universo mitológico dos Mbyá-Guarani,Revista de história regional,7,2,99–114,,,,,,http://www.revistas2.uepg.br/index.php/rhr/article/viewFile/2157/1637,,,Foreign Missions -- Anthropology|Foreign Missions -- Indigenous People -- Religion|Foreign Missions -- Intercultural Dialogue|Foreign Missions -- Evangelization -- Strategies,South America -- Brazil|South America -- Bolivia|South America -- Paraguay|South America -- Uruguay|South America -- Argentina,,"Na memória e na história oral dos Mbyá-Guarani contemporâneos são recorrentes alusões à personagem denominada dkechuíta. Em primeira mão o termo aponta para uma corruptela do termo jesuíta. Nos registros etnográficos, sua existência tem sido abordada por alguns pesquisadores, como CADOGAN (1971), VIETTA (1992) e GARLET (1997), recebendo interpretações que ora divergem e ora complementam-se. Nos registros históricos, por sua vez, os relatos sobre os contatos e a possível influência dos missionários inacianos deixam transparecer terem sido os mesmos tênues e esporádicos. A partir de um exercício relacional, procurouse evidenciar as possíveis conexões entre esta personagem mitológica e a figura histórica do jesuíta, no sentido de melhor compreenderas implicações do processo interétnico na cultura e, especificamente, na mitologia desta etnia.||In memory and oral history of the contemporary Mbyá-Guarani there are recurrent references to the character named kechuíta. At first hand, the term refers a variant of the word Jesuit. In the ethnographical registers, its existence has been approached by some researchers such as CADOGAN (1971), VIETTA (1992) e GARLET (1997), receiving interpretation which sometimes conflict, and sometimes complement each other. In the historical registers, in turn, the reports about the contact, and the possible influence of the Inatian missionary show that these were few and seldom. From a relational exercise, we try to clear the possible connections of this mythological character and the historical figure of the Jesuit, trying to better understand the implications of interethnic contact in the culture and, in special, in the mythology of this ethnic group.",,,,The Image of Kechuíta in the Mythological Universe|of the Mbyá-Guarani,Portuguese,REVIEW
